"S","T"
3.65E+007,2851.41
3.83E+007,3317.27
3.86E+007,3422.52
4.02E+007,3927.71
4.07E+007,4072.29
4.13E+007,4313.25
4.24E+007,4634.54
4.28E+007,4891.57
4.42E+007,5389.56
4.76E+007,6819.28
4.81E+007,7076.31
4.88E+007,7317.27
5.02E+007,7895.58
5.18E+007,8441.77
5.30E+007,8939.76
5.32E+007,9020.08
5.37E+007,9068.27
5.40E+007,9020.08
5.58E+007,8457.83
5.74E+007,7879.52
5.79E+007,7718.88
5.89E+007,7349.4
5.94E+007,7236.95
6.06E+007,6867.47
6.16E+007,6594.38
6.21E+007,6417.67
6.28E+007,6176.71
6.35E+007,5967.87
6.43E+007,5823.29
6.62E+007,5518.07
6.64E+007,5389.56
6.89E+007,4795.18
6.98E+007,4634.54
