#S	T	Rho	P
3684.5	35.598872979	7.91408541305	1000000.0
36845.0	36.8803733877	7.91377764949	1000000.0
368450.0	49.6954116944	7.91070003123	1000000.0
1000000.0	74.1021472791	7.90483872162	1000000.0
1250000.0	83.7636530431	7.90251854656	1000000.0
1500000.0	93.4251947946	7.90019839021	1000000.0
1750000.0	103.079040253	7.8001831025	1000000.0
2000000.0	112.737959175	7.80008754599	1000000.0
2250000.0	122.39688158	7.80005752511	1000000.0
2500000.0	132.0558048	7.80004283598	1000000.0
2750000.0	141.714728336	7.8000341227	1000000.0
3000000.0	151.37365203	7.800028355	1000000.0
3250000.0	161.032575812	7.80002425519	1000000.0
3500000.0	170.691499649	7.80002119118	1000000.0
3750000.0	180.350423523	7.80001881447	1000000.0
4000000.0	190.009347422	7.80001691712	1000000.0
4250000.0	199.668300406	7.80001533994	1000000.0
4500000.0	212.000016904	7.80001372274	1000000.0
4750000.0	224.426822831	7.80001241401	1000000.0
5000000.0	236.85362877	7.80001133317	1000000.0
5250000.0	249.280461464	7.80001040832	1000000.0
5500000.0	264.293583516	7.80000948083	1000000.0
5750000.0	279.465695936	7.80000870511	1000000.0
6000000.0	294.637809292	7.80000804673	1000000.0
6250000.0	311.577422084	7.80000740071	1000000.0
6500000.0	329.48316653	7.80000683832	1000000.0
6750000.0	347.388929024	7.80000634829	1000000.0
7000000.0	367.618268691	7.80000587041	1000000.0
7250000.0	388.244310105	7.80000545944	1000000.0
7500000.0	410.034719802	7.80000507006	1000000.0
7750000.0	433.368240262	7.80000472213	1000000.0
8000000.0	457.47573534	7.70436169713	1000000.0
8250000.0	483.50384631	7.70097318165	1000000.0
8500000.0	510.508257391	7.70012270218	1000000.0
8750000.0	539.202329846	7.70003832894	1000000.0
9000000.0	569.55604035	7.70002213167	1000000.0
9250000.0	600.988168961	7.70001537133	1000000.0
9500000.0	634.996222738	7.70001157385	1000000.0
9750000.0	670.480888168	7.70000917734	1000000.0
10000000.0	707.642697292	7.70000753618	1000000.0
10529411.8	793.505721294	7.70000533139	1000000.0
11058823.5	889.395822681	7.60013235767	1000000.0
11588235.3	996.126851911	7.60001403163	1000000.0
12117647.1	1115.14358553	7.60000675029	1000000.0
12647058.8	1247.14525587	7.60000426269	1000000.0
13176470.6	1393.72498373	7.50001118196	1000000.0
13705882.4	1556.01406727	7.50000508854	1000000.0
14235294.1	1735.18361676	7.40001246189	1000000.0
14764705.9	1932.41680115	7.40000469931	1000000.0
15294117.6	2148.8234235	7.30000775484	1000000.0
15823529.4	2385.7041282	7.20001513384	1000000.0
16352941.2	2643.62265073	7.1000406387	1000000.0
16882352.9	2923.43901843	7.00009288712	1000000.0
17411764.7	3225.56162068	6.90003955633	1000000.0
17941176.5	3454.43665838	0.0299185458759	1000000.0
18470588.2	3411.84735813	0.00683773735818	1000000.0
19000000.0	3359.63930358	0.00375626524625	1000000.0
19529411.8	3373.62652416	0.00248997590108	1000000.0
20058823.5	3391.54518822	0.0017998091449	1000000.0
20588235.3	3406.78744743	0.00140795315114	1000000.0
21117647.1	3428.28294568	0.00116031304914	1000000.0
21647058.8	3454.89551	0.000998013298872	1000000.0
22176470.6	3453.88892605	0.000876578928098	1000000.0
22705882.4	3453.43871351	0.000781334889486	1000000.0
23235294.1	3452.75951559	0.000705269574511	1000000.0
23764705.9	3452.40246214	0.000643490987205	1000000.0
24294117.6	3454.5856343	0.000591322890186	1000000.0
24823529.4	3453.97901184	0.000545880824356	1000000.0
25352941.2	3453.62227962	0.00050711295364	1000000.0
25882352.9	3453.49314452	0.000473696968332	1000000.0
26411764.7	3453.11474312	0.00044470686646	1000000.0
26941176.5	3452.08943133	0.000419515081629	1000000.0
27470588.2	3453.24191565	0.000397234853464	1000000.0
28000000.0	3454.64497039	0.000376646188448	1000000.0
28529411.8	3454.12947544	0.000357399956406	1000000.0
29058823.5	3453.69725089	0.000340056108509	1000000.0
29588235.3	3453.33742587	0.000324341514035	1000000.0
30117647.1	3453.08783696	0.000310108172839	1000000.0
30647058.8	3452.95664146	0.000297195603831	1000000.0
31176470.6	3452.37024675	0.000285339087139	1000000.0
31705882.4	3451.35823981	0.000274596266375	1000000.0
32235294.1	3449.79896306	0.000264769118651	1000000.0
32764705.9	3449.21888631	0.000255677504328	1000000.0
33294117.6	3449.52070742	0.000247273747265	1000000.0
33823529.4	3450.56060279	0.000239375856752	1000000.0
34352941.2	3452.33770031	0.000232056370954	1000000.0
34882352.9	3454.74740623	0.000225199214051	1000000.0
35411764.7	3452.08848536	0.000218030185628	1000000.0
35941176.5	3449.87959887	0.000211318024785	1000000.0
36470588.2	3448.26687456	0.000204925487569	1000000.0
37000000.0	3447.34696698	0.000198937419371	1000000.0
37529411.8	3568.6050793	0.00018641406064	1000000.0
38058823.5	3957.64069487	0.000159625398429	1000000.0
38588235.3	4276.61122675	0.000141134319681	1000000.0
39117647.1	4944.24491779	0.000124328879683	1000000.0
39647058.8	5782.27024132	0.000111184955404	1000000.0
40176470.6	6729.23704221	9.86975954997e-05	1000000.0
40705882.4	6939.69232794	8.80854531948e-05	1000000.0
41235294.1	6989.72560964	8.19451950806e-05	1000000.0
41764705.9	7032.18417253	7.74984188675e-05	1000000.0
42294117.6	7223.88315734	7.37171495133e-05	1000000.0
42823529.4	7524.53826023	7.03508594166e-05	1000000.0
43352941.2	7864.49340557	6.7337407583e-05	1000000.0
43882352.9	8075.27408544	6.47132513723e-05	1000000.0
44411764.7	8207.98219229	6.23659303706e-05	1000000.0
44941176.5	8307.01421	6.02286213777e-05	1000000.0
45470588.2	8383.36917102	5.8258660297e-05	1000000.0
46000000.0	8450.98100296	5.64243646033e-05	1000000.0
46529411.8	8504.4829546	5.47147077359e-05	1000000.0
47058823.5	8559.31792697	5.31117261273e-05	1000000.0
47588235.3	8599.62651009	5.1605217148e-05	1000000.0
48117647.1	8637.84939481	5.01810677608e-05	1000000.0
48647058.8	8678.263317	4.88386341397e-05	1000000.0
49176470.6	8710.42548869	4.75726845647e-05	1000000.0
49705882.4	8784.24077936	4.52049224781e-05	1000000.0
50235294.1	8864.31760152	4.28579300946e-05	1000000.0
50764705.9	8940.63530429	4.07854933e-05	1000000.0
51294117.6	9011.84419991	3.89415399797e-05	1000000.0
51823529.4	9074.95578056	3.72892449385e-05	1000000.0
52352941.2	9135.47128652	3.58012970498e-05	1000000.0
52882352.9	9193.75973451	3.44543374667e-05	1000000.0
53411764.7	9250.12335885	3.32292340709e-05	1000000.0
53941176.5	9304.81201891	3.21101663802e-05	1000000.0
54470588.2	9437.05273685	3.10395162342e-05	1000000.0
55000000.0	9616.4201468	3.00263094894e-05	1000000.0
55529411.8	9797.73704857	2.90860851335e-05	1000000.0
56058823.5	9980.75689285	2.82108478094e-05	1000000.0
56588235.3	10165.2961708	2.73934239209e-05	1000000.0
57117647.1	10351.1664602	2.66278877064e-05	1000000.0
57647058.8	10538.2426742	2.59094110234e-05	1000000.0
58176470.6	10726.4143279	2.52334645938e-05	1000000.0
58705882.4	10921.3848929	2.45718073861e-05	1000000.0
59235294.1	11127.5585469	2.39058124458e-05	1000000.0
59764705.9	11335.0269791	2.32768828331e-05	1000000.0
60294117.6	11543.6850438	2.26820081186e-05	1000000.0
60823529.4	11753.4385488	2.21184952126e-05	1000000.0
61352941.2	11964.203284	2.15839277185e-05	1000000.0
61882352.9	12175.9031811	2.10761312651e-05	1000000.0
62411764.7	12388.4697187	2.05931439308e-05	1000000.0
62941176.5	12601.840823	2.01331909519e-05	1000000.0
63470588.2	12815.960428	1.96946629165e-05	1000000.0
64000000.0	13030.7773634	1.92760968955e-05	1000000.0
64529411.8	13246.2450544	1.88761602e-05	1000000.0
65058823.5	13462.3210113	1.84936361879e-05	1000000.0
65588235.3	13678.9662742	1.81274119019e-05	1000000.0
66117647.1	13896.145372	1.77764672541e-05	1000000.0
66647058.8	14113.8255098	1.74398655266e-05	1000000.0
67176470.6	14332.4810312	1.70771028368e-05	1000000.0
67705882.4	14552.7334656	1.66482198595e-05	1000000.0
68235294.1	14773.3560963	1.62499734849e-05	1000000.0
68764705.9	14994.3108084	1.58791942152e-05	1000000.0
69294117.6	15215.5642948	1.55331351545e-05	1000000.0
69823529.4	15437.0876458	1.52094038692e-05	1000000.0
70352941.2	15658.8555666	1.49059070168e-05	1000000.0
70882352.9	15880.8457162	1.46208049893e-05	1000000.0
71411764.7	16103.0386761	1.43524746218e-05	1000000.0
71941176.5	16325.4169654	1.40994782597e-05	1000000.0
72470588.2	16547.9651446	1.38605380095e-05	1000000.0
73000000.0	16770.6693458	1.36345141226e-05	1000000.0
73529411.8	16993.5174275	1.34203868411e-05	1000000.0
74058823.5	17216.4982366	1.32172409887e-05	1000000.0
74588235.3	17439.6018183	1.30242528895e-05	1000000.0
75117647.1	17662.819188	1.28406793167e-05	1000000.0
75647058.8	17886.1421239	1.26658477438e-05	1000000.0
76176470.6	18109.5634419	1.24991482366e-05	1000000.0
76705882.4	18333.0763443	1.23400262912e-05	1000000.0
77235294.1	18556.6747321	1.21879767565e-05	1000000.0
77764705.9	18780.3530228	1.20425383481e-05	1000000.0
78294117.6	19004.1060205	1.1903289062e-05	1000000.0
78823529.4	19227.9292458	1.17698420482e-05	1000000.0
79352941.2	19451.8183056	1.16418420736e-05	1000000.0
79882352.9	19675.5645164	1.15121133683e-05	1000000.0
80411764.7	19899.2454968	1.13832863143e-05	1000000.0
80941176.5	20154.7387808	1.12345906263e-05	1000000.0
81470588.2	20456.7794342	1.10554849873e-05	1000000.0
82000000.0	20759.2735992	1.08852581816e-05	1000000.0
82529411.8	21062.1885614	1.07232659744e-05	1000000.0
83058823.5	21365.4943166	1.05689249468e-05	1000000.0
83588235.3	21669.1640088	1.04217055446e-05	1000000.0
84117647.1	21973.1728229	1.02811259614e-05	1000000.0
84647058.8	22277.4985171	1.01467469192e-05	1000000.0
85176470.6	22582.1203851	1.00181670318e-05	1000000.0
85705882.4	22820.6665199	9.83530640933e-06	1000000.0
86235294.1	23049.9312479	9.6497965929e-06	1000000.0
86764705.9	23281.1703261	9.47149800054e-06	1000000.0
87294117.6	23514.2709775	9.29999830565e-06	1000000.0
87823529.4	23749.1284873	9.13491577306e-06	1000000.0
88352941.2	23985.6462762	8.9758969616e-06	1000000.0
88882352.9	24223.734313	8.82261369288e-06	1000000.0
89411764.7	24463.3093408	8.67476125762e-06	1000000.0
89941176.5	24704.2935259	8.53205596126e-06	1000000.0
90470588.2	24946.6147162	8.39423371571e-06	1000000.0
91000000.0	25190.2052797	8.26104802343e-06	1000000.0
91529411.8	25435.0023722	8.1322688586e-06	1000000.0
92058823.5	25680.9469457	8.00768101844e-06	1000000.0
92588235.3	25927.9839689	7.88708322984e-06	1000000.0
93117647.1	26176.0617965	7.77028677354e-06	1000000.0
93647058.8	26425.1319241	7.65711475759e-06	1000000.0
94176470.6	26675.1489237	7.54740100585e-06	1000000.0
94705882.4	26926.069997	7.4409894319e-06	1000000.0
95235294.1	27177.8549776	7.33773312017e-06	1000000.0
95764705.9	27430.4659585	7.23749381735e-06	1000000.0
96294117.6	27683.8673024	7.14014117159e-06	1000000.0
96823529.4	27938.0253071	7.04555227297e-06	1000000.0
97352941.2	28192.9082558	6.95361108626e-06	1000000.0
97882352.9	28464.6616973	6.85279135182e-06	1000000.0
98411764.7	28737.6958646	6.75434949954e-06	1000000.0
98941176.5	29006.0479989	6.6622460738e-06	1000000.0
99470588.2	29270.1561545	6.5758879817e-06	1000000.0
100000000.0	29530.4054416	6.49475390302e-06	1000000.0
121951220.0	44177.3217403	3.57910315206e-06	1000000.0
143902439.0	57670.2253305	2.33370059554e-06	1000000.0
165853659.0	69377.5361039	1.6516897653e-06	1000000.0
187804878.0	82129.5800713	1.23910600106e-06	1000000.0
209756098.0	96116.5170169	9.77045781953e-07	1000000.0
231707317.0	108805.720732	8.12942096189e-07	1000000.0
253658537.0	127762.068058	6.99604631758e-07	1000000.0
275609756.0	167176.794818	5.41883687182e-07	1000000.0
297560976.0	185752.81069	4.7503458727e-07	1000000.0
319512195.0	200729.221814	4.36297448849e-07	1000000.0
341463415.0	217377.349515	4.11668985336e-07	1000000.0
363414634.0	237567.797131	3.71872154648e-07	1000000.0
385365854.0	253053.19436	3.54466662692e-07	1000000.0
407317073.0	268154.503663	3.5513659925e-07	1000000.0
429268293.0	291237.460305	3.47004115426e-07	1000000.0
451219512.0	316568.859992	3.32957203157e-07	1000000.0
473170732.0	307349.542758	4.93580943256e-07	1000000.0
495121951.0	430627.696679	4.66610989883e-07	1000000.0
517073171.0	628884.239702	3.44103534966e-07	1000000.0
539024390.0	773506.23796	2.58491639073e-07	1000000.0
560975610.0	821486.336428	2.74580210535e-07	1000000.0
582926829.0	862401.648865	3.41401189095e-07	1000000.0
604878049.0	928876.61277	3.59219737602e-07	1000000.0
626829268.0	1048600.44743	3.16830773525e-07	1000000.0
648780488.0	1170017.60611	2.8203763223e-07	1000000.0
670731707.0	1292710.37716	2.52966522071e-07	1000000.0
692682927.0	1416388.00381	2.2831313745e-07	1000000.0
714634146.0	1540841.81797	2.07141593657e-07	1000000.0
736585366.0	1665918.23705	1.88762914588e-07	1000000.0
758536585.0	1606121.60118	3.84797308282e-07	1000000.0
780487805.0	1756753.70988	4.868718014e-07	1000000.0
802439024.0	2366325.50002	4.66942108088e-07	1000000.0
824390244.0	3185354.29516	4.17851578102e-07	1000000.0
846341463.0	4386929.66855	2.79439274077e-07	1000000.0
868292683.0	5055045.49685	2.30954212332e-07	1000000.0
890243902.0	5032277.77326	3.75570545002e-07	1000000.0
912195122.0	5092899.52253	5.4613310433e-07	1000000.0
934146341.0	7012380.03447	5.63151260558e-07	1000000.0
956097561.0	10075068.6583	5.6337564176e-07	1000000.0
978048780.0	14468478.2214	5.63935307762e-07	1000000.0
